,3,4
0,21.99,21.82
1,21.89,21.86
2,21.94,21.78
3,22.04,21.78
4,22.03,21.7
5,22.06,21.65
6,22.19,21.65
7,22.14,21.62
8,22.13,21.61
9,22.02,21.53
10,22.04,21.44
11,21.99,21.37
12,21.88,21.35
13,21.79,21.37
14,21.82,21.43
15,21.72,21.47
16,21.74,21.53
17,21.76,21.55
18,21.87,21.56
19,21.82,21.55
20,21.76,21.53
21,21.75,21.56
22,21.73,21.53
23,21.72,21.5
24,21.6,21.56
25,21.62,21.54
26,21.65,21.56
27,21.71,21.57
28,21.83,21.59
29,21.79,21.63
30,21.89,21.59
31,21.85,21.59
32,21.84,21.59
33,21.83,21.63
34,21.83,21.66
35,21.86,21.72
36,21.92,21.8
37,21.96,21.73
38,21.91,21.68
39,22.0,21.7
40,21.93,21.68
41,21.99,21.71
42,21.94,21.78
43,21.95,21.81
44,21.94,21.72
45,21.96,21.68
46,21.98,21.64
47,22.03,21.72
48,22.05,21.73
49,22.09,21.78
50,22.16,21.76
51,22.13,21.76
52,22.13,21.77
53,22.04,21.78
54,22.02,21.8
55,21.96,21.81
56,21.92,21.74
57,21.96,21.78
58,21.93,21.75
59,21.9,21.73
60,21.86,21.79
61,21.95,21.8
62,21.93,21.78
63,21.92,21.8
64,21.9,21.8
65,21.86,21.8
66,21.87,21.79
67,21.92,21.77
68,21.93,21.76
69,21.98,21.8
70,22.0,21.75
71,22.01,21.78
72,21.99,21.78
73,21.97,21.77
74,21.98,21.76
75,21.95,21.76
76,22.0,21.75
77,22.04,21.76
78,21.96,21.75
79,21.94,21.72
80,21.87,21.72
81,21.87,21.71
82,21.91,21.72
83,21.92,21.71
84,21.94,21.72
85,21.97,21.71
86,21.97,21.65
87,21.95,21.68
88,21.92,21.69
89,21.9,21.69
90,21.9,21.66
91,21.91,21.66
92,21.93,21.6
93,21.86,21.6
94,21.92,21.58
95,22.0,21.56
96,21.93,21.54
97,21.93,21.54
98,21.92,21.54
99,21.93,21.46
100,21.89,21.41
101,21.91,21.43
102,21.89,21.46
103,21.86,21.46
104,21.86,21.43
105,21.87,21.46
106,21.86,21.37
107,21.84,21.41
108,21.79,21.44
109,21.78,21.44
110,21.83,21.51
111,21.85,21.54
112,21.84,21.5
113,21.82,21.45
114,21.8,21.47
115,21.77,21.48
116,21.8,21.48
117,21.82,21.48
118,21.83,21.48
119,21.84,21.49
120,21.89,21.49
121,21.95,21.46
122,21.89,21.48
123,21.93,21.49
124,21.95,21.46
125,22.01,21.48
126,21.97,21.5
127,21.95,21.55
128,21.97,21.53
129,21.97,21.52
130,21.96,21.51
131,21.93,21.51
132,21.92,21.48
133,21.86,21.49
134,21.89,21.51
135,21.88,21.52
136,21.86,21.51
137,21.89,21.51
138,21.9,21.51
139,21.9,21.5
140,21.92,21.52
141,21.92,21.53
142,21.91,21.5
143,21.94,21.47
144,21.92,21.47
145,21.93,21.46
146,22.0,21.47
147,21.98,21.49
148,21.97,21.48
149,22.0,21.47
150,21.98,21.49
151,21.96,21.5
152,21.95,21.49
153,21.98,21.5
154,21.91,21.49
155,21.9,21.5
156,21.89,21.5
157,21.88,21.52
158,21.86,21.54
159,21.89,21.5
160,21.85,21.52
161,21.88,21.52
162,21.89,21.53
163,21.88,21.54
164,21.85,21.54
165,21.86,21.53
166,21.89,21.59
167,21.9,21.59
168,21.9,21.62
169,21.88,21.61
170,21.91,21.61
171,21.95,21.63
172,21.95,21.6
173,21.91,21.63
174,21.94,21.64
175,21.92,21.61
176,21.91,21.61
177,21.92,21.59
178,21.96,21.58
179,21.97,21.57
180,21.96,21.56
181,21.99,21.57
182,21.98,21.58
183,21.97,21.61
184,22.0,21.61
185,22.02,21.61
186,22.02,21.57
187,21.98,21.61
188,21.97,21.62
189,21.94,21.61
190,21.93,21.63
191,21.94,21.63
192,21.95,21.63
193,21.94,21.6
194,21.93,21.61
195,21.94,21.61
196,21.95,21.63
197,21.98,21.6
198,21.97,21.52
199,21.97,21.55
200,21.98,21.54
201,21.97,21.55
202,21.96,21.58
203,21.97,21.57
204,21.96,21.52
205,21.93,21.53
206,21.93,21.56
207,21.95,21.55
208,21.95,21.55
209,21.92,21.53
210,21.93,21.51
211,21.93,21.49
212,21.95,21.47
213,21.97,21.48
214,21.97,21.51
215,21.97,21.51
216,21.97,21.55
217,21.99,21.52
218,22.01,21.51
219,22.04,21.46
220,22.04,21.44
221,22.04,21.42
222,22.08,21.42
223,22.1,21.4
224,22.09,21.42
225,22.13,21.43
226,22.11,21.44
227,22.12,21.43
228,22.13,21.4
229,22.1,21.38
230,22.06,21.34
231,22.05,21.38
232,22.06,21.39
233,22.07,21.33
234,22.07,21.35
235,22.1,21.34
236,22.13,21.34
237,22.13,21.34
238,22.09,21.34
239,22.08,21.35
240,22.1,21.36
241,22.12,21.35
242,22.1,21.34
243,22.06,21.33
244,22.05,21.38
245,22.06,21.39
246,22.07,21.39
247,22.03,21.36
248,22.04,21.28
249,22.01,21.3
250,22.01,21.27
251,22.01,21.27
252,22.02,21.25
253,22.01,21.27
254,22.02,21.25
255,22.01,21.28
256,22.01,21.27
257,22.0,21.27
258,21.99,21.25
259,22.01,21.3
260,21.97,21.32
261,22.01,21.31
262,22.0,21.29
263,22.01,21.29
264,22.04,21.28
265,22.04,21.3
266,22.03,21.28
267,22.04,21.31
268,22.02,21.29
269,22.01,21.3
270,21.98,21.29
271,22.0,21.28
272,21.94,21.25
273,21.98,21.26
274,21.96,21.28
275,21.97,21.28
276,21.99,21.28
277,22.0,21.26
278,21.99,21.25
279,21.97,21.21
280,21.99,21.19
281,21.96,21.13
282,21.96,21.13
283,21.96,21.14
284,21.93,21.12
285,21.89,21.11
286,21.9,21.06
287,21.92,21.03
288,21.91,21.01
289,21.89,21.04
290,21.88,21.1
291,21.89,21.09
292,21.91,21.08
293,21.91,21.07
294,21.91,21.09
295,21.86,21.11
296,21.89,21.1
297,21.89,21.06
298,21.88,21.03
299,21.84,21.04
300,21.83,21.02
301,21.81,21.01
302,21.82,21.01
303,21.83,21.03
304,21.83,21.02
305,21.84,21.02
306,21.83,21.02
307,21.86,21.02
308,21.87,20.94
309,21.89,20.94
310,21.88,20.95
311,21.9,20.92
312,21.9,20.9
313,21.88,20.9
314,21.88,20.89
315,21.86,20.9
316,21.91,20.9
317,21.88,20.91
318,21.87,20.92
319,21.88,20.92
320,21.87,20.94
321,21.88,20.95
322,21.87,20.89
323,21.86,20.9
324,21.88,20.89
325,21.87,20.85
326,21.88,20.87
327,21.88,20.85
328,21.84,20.8
329,21.82,20.81
330,21.83,20.86
331,21.83,20.85
332,21.85,20.83
333,21.86,20.82
334,21.87,20.82
335,21.83,20.8
336,21.81,20.83
337,21.82,20.86
338,21.8,20.87
339,21.8,20.87
340,21.8,20.88
341,21.78,20.87
342,21.72,20.89
343,21.72,20.89
344,21.71,20.9
