,3,4
0,259.63,256.54
1,259.51,256.88
2,258.98,255.93
3,257.47,255.91
4,258.1,255.63
5,258.89,254.36
6,258.44,254.64
7,258.07,254.8
8,257.32,254.69
9,256.86,253.8
10,256.94,252.84
11,257.17,252.73
12,256.93,253.11
13,256.69,252.94
14,256.25,253.07
15,256.52,253.56
16,255.93,253.77
17,256.09,253.93
18,256.15,253.85
19,255.62,253.51
20,254.85,252.73
21,254.9,253.74
22,254.87,254.0
23,254.34,253.78
24,254.86,254.35
25,254.62,253.98
26,255.6,254.26
27,255.97,254.06
28,255.87,253.75
29,255.71,254.44
30,256.0,253.96
31,255.22,253.71
32,255.89,254.0
33,256.05,254.58
34,256.58,254.4
35,257.04,255.05
36,257.35,255.5
37,257.33,255.22
38,256.85,254.65
39,257.05,254.91
40,256.93,254.9
41,256.92,254.96
42,256.64,254.9
43,256.65,254.55
44,256.78,253.9
45,257.45,254.15
46,257.34,253.65
47,257.53,254.36
48,257.52,254.57
49,257.97,254.57
50,258.08,254.18
51,258.09,254.02
52,257.67,254.01
53,257.45,254.55
54,256.94,254.6
55,256.44,254.17
56,255.87,253.82
57,256.3,254.1
58,256.32,254.25
59,256.27,254.1
60,256.02,254.42
61,256.41,254.21
62,256.28,254.26
63,256.6,254.24
64,256.44,254.55
65,256.41,254.92
66,256.94,255.13
67,257.12,255.23
68,257.35,255.07
69,257.39,255.02
70,257.4,254.71
71,257.75,254.92
72,257.64,255.14
73,257.41,255.33
74,257.31,255.31
75,256.95,255.34
76,257.32,255.56
77,257.37,255.69
78,257.04,255.99
79,257.05,255.55
80,256.73,255.62
81,256.65,255.37
82,257.25,255.39
83,257.64,255.27
84,257.56,255.56
85,257.71,255.8
86,258.08,255.64
87,257.93,255.76
88,257.37,255.71
89,257.31,255.57
90,257.42,255.36
91,256.78,255.66
92,257.11,255.88
93,257.05,255.97
94,257.4,255.94
95,257.81,255.96
96,257.73,255.97
97,257.84,255.92
98,257.8,255.42
99,257.84,255.07
100,257.85,254.86
101,258.3,254.88
102,258.06,254.86
103,258.03,254.58
104,258.15,254.66
105,258.04,254.67
106,257.55,254.15
107,257.77,254.45
108,257.66,254.55
109,257.71,254.33
110,258.21,254.43
111,258.13,254.57
112,258.16,254.45
113,257.77,254.44
114,257.61,254.64
115,257.54,254.97
116,257.62,254.86
117,257.35,254.93
118,257.48,255.08
119,257.35,255.2
120,257.71,255.17
121,257.82,255.15
122,257.67,255.22
123,257.93,255.28
124,258.04,255.16
125,258.11,255.35
126,258.01,255.7
127,257.77,255.55
128,257.85,255.5
129,257.82,255.68
130,257.58,255.61
131,257.42,255.43
132,257.39,255.43
133,257.13,255.49
134,257.37,255.72
135,257.7,255.66
136,257.62,255.47
137,257.76,255.51
138,257.85,255.47
139,257.95,255.42
140,258.12,255.75
141,257.8,255.57
142,257.57,255.1
143,257.55,255.09
144,257.61,255.1
145,257.84,255.29
146,257.9,254.62
147,257.9,254.8
148,257.84,254.64
149,257.78,254.18
150,257.97,254.27
151,257.63,254.55
152,257.55,254.36
153,257.61,254.43
154,257.63,254.05
155,257.58,253.92
156,257.36,254.14
157,257.38,254.12
158,257.28,254.12
159,257.53,254.14
160,257.04,253.87
161,257.86,253.92
162,257.61,253.95
163,257.59,253.8
164,257.58,253.83
165,257.59,253.47
166,257.77,253.8
167,257.61,253.97
168,257.82,254.1
169,257.72,254.24
170,257.67,254.33
171,257.81,254.26
172,257.52,254.45
173,257.7,254.52
174,258.02,254.28
175,257.85,253.96
176,257.68,254.05
177,257.75,253.85
178,258.23,254.0
179,258.28,253.93
180,258.64,253.86
181,258.92,253.91
182,258.79,254.25
183,258.87,254.36
184,259.36,254.1
185,259.84,254.1
186,259.66,254.16
187,258.91,254.4
188,259.04,254.4
189,259.01,254.45
190,259.2,254.49
191,259.08,254.62
192,259.36,254.58
193,259.28,254.27
194,259.33,254.4
195,259.53,254.5
196,259.66,254.47
197,260.29,254.14
198,260.1,253.71
199,260.07,253.77
200,260.15,253.74
201,260.1,253.8
202,260.0,253.91
203,259.8,253.78
204,259.35,253.44
205,259.33,253.4
206,259.39,253.68
207,259.4,253.63
208,259.37,253.29
209,259.14,253.05
210,258.76,253.03
211,259.06,252.84
212,259.34,252.74
213,259.34,252.77
214,259.14,252.71
215,259.22,252.6
216,259.26,252.79
217,259.57,252.18
218,259.53,252.05
219,259.57,251.59
220,259.64,251.11
221,259.89,251.28
222,260.03,251.34
223,260.31,250.92
224,260.2,250.97
225,260.76,251.15
226,260.33,251.13
227,260.16,251.06
228,260.15,250.36
229,259.89,250.73
230,259.75,250.69
231,259.75,251.0
232,259.87,250.94
233,259.89,250.55
234,259.91,250.83
235,260.06,250.61
236,260.17,250.67
237,260.32,250.34
238,260.0,250.21
239,259.91,249.65
240,260.14,249.79
241,260.08,249.86
242,259.93,249.78
243,259.73,249.89
244,259.36,250.17
245,259.51,250.05
246,259.81,250.36
247,259.53,250.14
248,259.38,249.15
249,259.43,249.69
250,259.66,249.6
251,259.71,249.69
252,259.57,249.6
253,259.24,249.81
254,259.43,249.94
255,259.41,250.28
256,259.46,250.0
257,259.49,249.92
258,259.45,249.43
259,259.44,249.61
260,259.39,249.89
261,259.39,250.01
262,259.0,249.82
263,259.0,248.96
264,258.98,249.19
265,258.89,249.02
266,258.57,249.14
267,258.8,249.28
268,258.7,248.95
269,258.57,248.47
270,258.41,248.5
271,258.38,248.01
272,258.05,247.57
273,258.39,247.94
274,258.18,248.12
275,258.58,248.03
276,258.63,248.0
277,258.75,247.85
278,258.56,247.89
279,258.52,247.99
280,258.79,247.56
281,258.64,247.25
282,258.62,247.03
283,258.26,246.81
284,258.1,246.49
285,257.73,246.5
286,257.82,246.14
287,257.95,245.91
288,257.72,245.83
289,257.62,246.2
290,257.38,246.7
291,257.6,246.65
292,257.55,246.65
293,257.32,246.82
294,257.4,247.09
295,256.85,247.3
296,257.04,247.35
297,257.12,247.13
298,257.06,247.25
299,257.1,247.19
300,257.31,247.38
301,256.47,247.22
302,256.82,247.0
303,256.78,247.28
304,257.05,247.23
305,257.13,247.18
306,256.89,247.47
307,257.3,247.42
308,257.36,247.23
309,257.43,247.35
310,257.5,247.39
311,257.49,247.44
312,257.42,247.29
313,257.37,247.42
314,257.32,247.63
315,257.23,247.62
316,257.4,247.63
317,257.04,247.57
318,257.07,247.62
319,256.84,247.67
320,256.77,247.39
321,257.03,247.03
322,256.81,246.6
323,256.86,246.71
324,257.25,246.65
325,257.06,246.38
326,257.2,246.53
327,257.24,246.13
328,257.15,245.67
329,256.92,245.89
330,257.02,246.75
331,256.99,246.76
332,257.36,246.57
333,257.38,246.33
334,257.26,245.81
335,257.03,246.31
336,256.7,246.32
337,256.65,246.6
338,256.43,247.16
339,256.73,247.1
340,256.42,247.06
341,256.39,247.13
342,256.0,247.24
343,255.99,247.01
344,255.99,247.09
345,255.84,247.42
346,255.45,247.32
347,255.62,247.39
348,255.37,247.56
349,255.5,247.56
350,255.99,247.31
351,255.91,247.15
352,255.97,247.45
353,256.3,247.76
354,256.7,247.88
355,256.95,247.64
356,256.7,247.56
357,256.85,247.55
358,256.76,247.43
359,256.94,247.29
360,256.78,247.36
361,257.02,247.35
362,256.82,246.78
363,257.01,246.84
364,256.58,246.52
365,256.89,246.65
366,257.44,246.71
367,257.4,246.62
368,257.12,246.67
369,256.82,246.72
370,256.94,246.48
371,256.84,246.14
372,256.8,246.15
373,257.32,245.96
374,257.16,245.97
375,257.36,246.18
376,257.44,245.92
377,257.59,245.91
378,257.37,245.86
379,257.31,246.09
380,257.26,245.36
381,256.82,244.94
382,256.71,244.54
383,256.78,244.65
384,256.72,244.69
385,256.28,245.06
386,256.11,245.23
387,256.06,245.23
388,255.76,245.17
389,255.65,244.74
